"MacroTrends Data Download"
"Silver Prices - 100 Year Historical Chart"
"Note: Real datasets are adjusted for inflation using the headline Consumer Price Index (CPI) with the current month as the base."

"Disclaimer and Terms of Use: Historical data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


date,real,nominal
1931-03-01,5.43,0.290
1931-04-01,5.47,0.290
1931-05-01,5.54,0.290
1931-06-01,5.61,0.290
1931-07-01,5.61,0.290
1931-08-01,5.61,0.290
1931-09-01,5.65,0.290
1931-10-01,5.69,0.290
1931-11-01,5.77,0.290
1931-12-01,5.81,0.290
1932-01-01,5.72,0.280
1932-02-01,5.80,0.280
1932-03-01,5.85,0.280
1932-04-01,5.89,0.280
1932-05-01,5.97,0.280
1932-06-01,6.02,0.280
1932-07-01,6.02,0.280
1932-08-01,6.06,0.280
1932-09-01,6.11,0.280
1932-10-01,6.15,0.280
1932-11-01,6.20,0.280
1932-12-01,6.25,0.280
1933-01-01,7.93,0.350
1933-02-01,8.06,0.350
1933-03-01,8.12,0.350
1933-04-01,8.12,0.350
1933-05-01,8.12,0.350
1933-06-01,8.06,0.350
1933-07-01,7.81,0.350
1933-08-01,7.75,0.350
1933-09-01,7.75,0.350
1933-10-01,7.75,0.350
1933-11-01,7.75,0.350
1933-12-01,7.75,0.350
1934-01-01,10.63,0.480
1934-02-01,10.55,0.480
1934-03-01,10.55,0.480
1934-04-01,10.55,0.480
1934-05-01,10.55,0.480
1934-06-01,10.47,0.480
1934-07-01,10.47,0.480
1934-08-01,10.47,0.480
1934-09-01,10.32,0.480
1934-10-01,10.39,0.480
1934-11-01,10.39,0.480
1934-12-01,10.47,0.480
1935-01-01,13.75,0.640
1935-02-01,13.65,0.640
1935-03-01,13.65,0.640
1935-04-01,13.56,0.640
1935-05-01,13.56,0.640
1935-06-01,13.65,0.640
1935-07-01,13.65,0.640
1935-08-01,13.65,0.640
1935-09-01,13.65,0.640
1935-10-01,13.65,0.640
1935-11-01,13.56,0.640
1935-12-01,13.56,0.640
1936-01-01,9.53,0.450
1936-02-01,9.53,0.450
1936-03-01,9.60,0.450
1936-04-01,9.60,0.450
1936-05-01,9.60,0.450
1936-06-01,9.53,0.450
1936-07-01,9.46,0.450
1936-08-01,9.40,0.450
1936-09-01,9.40,0.450
1936-10-01,9.40,0.450
1936-11-01,9.40,0.450
1936-12-01,9.40,0.450
1937-01-01,9.33,0.450
1937-02-01,9.33,0.450
1937-03-01,9.26,0.450
1937-04-01,9.20,0.450
1937-05-01,9.13,0.450
1937-06-01,9.13,0.450
1937-07-01,9.07,0.450
1937-08-01,9.07,0.450
1937-09-01,9.01,0.450
1937-10-01,9.01,0.450
1937-11-01,9.07,0.450
1937-12-01,9.13,0.450
1938-01-01,8.85,0.430
1938-02-01,8.91,0.430
1938-03-01,8.91,0.430
1938-04-01,8.85,0.430
1938-05-01,8.91,0.430
1938-06-01,8.91,0.430
1938-07-01,8.91,0.430
1938-08-01,8.91,0.430
1938-09-01,8.91,0.430
1938-10-01,8.98,0.430
1938-11-01,8.98,0.430
1938-12-01,8.98,0.430
1939-01-01,8.14,0.390
1939-02-01,8.20,0.390
1939-03-01,8.20,0.390
1939-04-01,8.26,0.390
1939-05-01,8.26,0.390
1939-06-01,8.26,0.390
1939-07-01,8.26,0.390
1939-08-01,8.26,0.390
1939-09-01,8.08,0.390
1939-10-01,8.14,0.390
1939-11-01,8.14,0.390
1939-12-01,8.14,0.390
1940-01-01,7.36,0.350
1940-02-01,7.31,0.350
1940-03-01,7.31,0.350
1940-04-01,7.31,0.350
1940-05-01,7.31,0.350
1940-06-01,7.26,0.350
1940-07-01,7.31,0.350
1940-08-01,7.31,0.350
1940-09-01,7.31,0.350
1940-10-01,7.31,0.350
1940-11-01,7.31,0.350
1940-12-01,7.26,0.350
1941-01-01,7.26,0.350
1941-02-01,7.26,0.350
1941-03-01,7.20,0.350
1941-04-01,7.15,0.350
1941-05-01,7.10,0.350
1941-06-01,6.96,0.350
1941-07-01,6.96,0.350
1941-08-01,6.87,0.350
1941-09-01,6.77,0.350
1941-10-01,6.69,0.350
1941-11-01,6.64,0.350
1941-12-01,6.60,0.350
1942-01-01,7.07,0.380
1942-02-01,7.03,0.380
1942-03-01,6.94,0.380
1942-04-01,6.90,0.380
1942-05-01,6.81,0.380
1942-06-01,6.81,0.380
1942-07-01,6.77,0.380
1942-08-01,6.73,0.380
1942-09-01,6.73,0.380
1942-10-01,6.65,0.380
1942-11-01,6.61,0.380
1942-12-01,6.57,0.380
1943-01-01,7.78,0.450
1943-02-01,7.78,0.450
1943-03-01,7.65,0.450
1943-04-01,7.56,0.450
1943-05-01,7.52,0.450
1943-06-01,7.52,0.450
1943-07-01,7.56,0.450
1943-08-01,7.60,0.450
1943-09-01,7.56,0.450
1943-10-01,7.56,0.450
1943-11-01,7.56,0.450
1943-12-01,7.56,0.450
1944-01-01,7.56,0.450
1944-02-01,7.56,0.450
1944-03-01,7.56,0.450
1944-04-01,7.52,0.450
1944-05-01,7.52,0.450
1944-06-01,7.47,0.450
1944-07-01,7.43,0.450
1944-08-01,7.43,0.450
1944-09-01,7.43,0.450
1944-10-01,7.43,0.450
1944-11-01,7.43,0.450
1944-12-01,7.39,0.450
1945-01-01,8.54,0.520
1945-02-01,8.54,0.520
1945-03-01,8.54,0.520
1945-04-01,8.54,0.520
1945-05-01,8.49,0.520
1945-06-01,8.40,0.520
1945-07-01,8.40,0.520
1945-08-01,8.40,0.520
1945-09-01,8.40,0.520
1945-10-01,8.40,0.520
1945-11-01,8.40,0.520
1945-12-01,8.35,0.520
